asema	pvm	biomassa
87	2014-05-15	0.5518
87	2014-05-15	3.1079
87	2014-05-15	5.3327
87	2014-05-15	26.973
87	2014-05-15	0.979
87	2014-05-15	20.3741
87	2014-05-15	1.8581
87	2014-05-15	0.8342
87	2014-05-15	10.3597
87	2014-05-15	6.5036
87	2014-05-15	21.6426
87	2014-05-15	23.1436
87	2014-05-15	4.1439
87	2014-05-15	93.4677
87	2014-05-15	1.4906
87	2014-05-15	46.9077
87	2014-05-15	7.7525
87	2014-05-15	22.0743
87	2014-05-15	5.4964
87	2014-05-15	0.2817
87	2014-05-15	30.5093
87	2014-05-15	2.8571
87	2014-05-15	231.9306
87	2014-05-15	105.8074
87	2014-05-15	33.0936
87	2014-05-15	162.2059
87	2014-05-15	7.3669
87	2014-05-15	7.3669
87	2014-05-15	8.6791
87	2014-06-05	2.901
87	2014-06-05	45.8615
87	2014-06-05	40.0749
87	2014-06-05	0.8717
87	2014-06-05	25.5194
87	2014-06-05	14.2734
87	2014-06-05	58.8202
87	2014-06-05	68.3742
87	2014-06-05	1.3287
87	2014-06-05	234.5891
87	2014-06-05	54.8978
87	2014-06-05	76.1851
87	2014-06-05	3.3899
87	2014-06-05	2.0719
87	2014-06-05	167.2326
87	2014-06-05	3.0969
87	2014-06-05	0.8342
87	2014-06-05	801.1378
87	2014-06-05	0.5203
87	2014-06-05	72.5664
87	2014-06-05	23.1436
87	2014-06-05	14.3885
87	2014-06-05	3.5258
87	2014-06-05	20.6722
87	2014-06-05	85.813
87	2014-06-05	0.7453
87	2014-06-05	4.8863
87	2014-06-05	0.7453
87	2014-06-05	31.1822
87	2014-06-05	32.3022
87	2014-06-05	15.5338
87	2014-06-05	10.9928
87	2014-06-05	2.2619
87	2014-06-05	13.0755
87	2014-06-05	0.583
87	2014-06-05	28.5714
87	2014-06-05	218.1051
87	2014-06-05	9.9234
87	2014-06-05	31.0162
87	2014-06-05	27.7123
87	2014-06-05	14.7338
87	2014-06-05	20.613
87	2014-06-18	8.7031
87	2014-06-18	29.1493
87	2014-06-18	3.9143
87	2014-06-18	9.2653
87	2014-06-18	125.1475
87	2014-06-18	51.8331
87	2014-06-18	3.9227
87	2014-06-18	0.2908
87	2014-06-18	66.3713
87	2014-06-18	133.1748
87	2014-06-18	1.6484
87	2014-06-18	2.7872
87	2014-06-18	49.3813
87	2014-06-18	16.4029
87	2014-06-18	250.413
87	2014-06-18	83.0105
87	2014-06-18	1.695
87	2014-06-18	1.036
87	2014-06-18	0.5594
87	2014-06-18	329.0706
87	2014-06-18	6.7914
87	2014-06-18	9.9101
87	2014-06-18	0.4171
87	2014-06-18	55.2518
87	2014-06-18	2.4985
87	2014-06-18	0.7804
87	2014-06-18	85.2973
87	2014-06-18	7.7145
87	2014-06-18	14.3885
87	2014-06-18	7.0515
87	2014-06-18	6.2158
87	2014-06-18	68.0864
87	2014-06-18	2.9813
87	2014-06-18	2.0144
87	2014-06-18	16.4823
87	2014-06-18	82.6936
87	2014-06-18	16.3513
87	2014-06-18	5.4964
87	2014-06-18	9.0475
87	2014-06-18	7.4095
87	2014-06-18	53.3333
87	2014-06-18	211.1307
87	2014-06-18	0.4262
87	2014-06-18	97.6847
87	2014-06-18	7.3669
87	2014-06-18	4.3396
87	2014-07-02	7.2596
87	2014-07-02	36.4366
87	2014-07-02	16.3444
87	2014-07-02	27.7959
87	2014-07-02	13.5544
87	2014-07-02	1.4575
87	2014-07-02	58.9065
87	2014-07-02	14.3831
87	2014-07-02	20.0333
87	2014-07-02	18.8811
87	2014-07-02	0.2908
87	2014-07-02	4.8921
87	2014-07-02	3.1856
87	2014-07-02	101.7555
87	2014-07-02	5.4964
87	2014-07-02	147.0505
87	2014-07-02	5.6277
87	2014-07-02	22.7914
87	2014-07-02	4.7619
87	2014-07-02	147.641
87	2014-07-02	45.3896
87	2014-07-02	55.2101
87	2014-07-02	94.9517
87	2014-07-02	8.5468
87	2014-07-02	4.9468
87	2014-07-02	0.0902
87	2014-07-02	75.5244
87	2014-07-02	13.5827
87	2014-07-02	22.1413
87	2014-07-02	17.4896
87	2014-07-02	3.642
87	2014-07-02	2.6446
87	2014-07-02	105.6668
87	2014-07-02	15.4291
87	2014-07-02	79.1367
87	2014-07-02	43.9137
87	2014-07-02	2.0719
87	2014-07-02	64.4605
87	2014-07-02	7.4532
87	2014-07-02	25.1689
87	2014-07-02	4.2752
87	2014-07-02	82.6936
87	2014-07-02	21.2568
87	2014-07-02	16.4892
87	2014-07-02	15.8331
87	2014-07-02	11.3682
87	2014-07-02	113.7361
87	2014-07-02	156.6045
87	2014-07-02	5.4312
87	2014-07-02	53.3583
87	2014-07-14	20.342
87	2014-07-14	2.6096
87	2014-07-14	38.8657
87	2014-07-14	98.9929
87	2014-07-14	7.4095
87	2014-07-14	13.0869
87	2014-07-14	297.036
87	2014-07-14	388.9973
87	2014-07-14	5.2108
87	2014-07-14	1.8676
87	2014-07-14	9.5568
87	2014-07-14	30.1094
87	2014-07-14	17.554
87	2014-07-14	7.9401
87	2014-07-14	3.2967
87	2014-07-14	3.7986
